id,educ,maeduc,paeduc
2236,12,11,12
2237,12,5,5
2238,13,16,15
2239,12,16,9
2241,13,1,3
2242,10,12,16
2243,16,13,14
2244,13,13,14
2246,20,12,15
2247,16,14,18
2250,16,12,10
2254,18,12,16
2256,16,14,12
2259,18,16,16
2260,16,16,16
2261,16,12,16
2262,18,16,15
2263,20,16,16
2264,18,18,13
2265,12,18,17
2266,17,12,12
2267,16,16,18
2269,14,12,12
2270,17,12,10
2271,13,12,12
2272,12,12,16
2274,15,16,16
2275,15,12,12
2276,18,16,16
2277,14,14,11
2279,13,9,3
2280,12,13,14
2283,14,12,12
2285,16,12,12
2286,18,16,14
2287,16,16,20
2288,17,14,18
2290,18,16,14
2292,15,20,16
2293,16,12,12
2294,16,16,16
2295,12,12,12
2297,13,10,12
2298,18,16,12
2299,20,9,12
2301,16,10,10
2303,14,16,16
2306,15,17,13
2307,20,10,11
2309,18,12,10
2310,14,14,18
2311,12,14,12
2312,13,12,20
2313,12,14,16
2314,20,16,20
2315,14,12,11
2316,14,12,16
2317,13,12,10
2318,17,13,20
2319,16,14,12
2320,18,15,16
2325,16,18,18
2327,11,3,3
2330,14,13,14
2331,19,12,12
2332,19,16,20
2337,20,12,12
2343,16,12,16
2345,12,7,7
2346,18,9,12
2347,17,15,16
2349,17,10,10
2350,12,12,12
2351,10,12,14
2354,17,12,12
2357,16,15,12
2358,15,9,8
2360,12,12,12
2363,13,0,12
2364,16,5,3
2366,13,12,8
2369,17,14,12
2371,15,12,16
2374,15,17,12
2375,14,14,10
2379,14,13,12
2381,12,12,12
2382,14,12,12
2383,17,12,12
2386,12,12,12
2387,16,16,20
2388,12,14,12
2389,17,16,18
2391,16,14,14
2392,16,9,8
2393,18,18,18
2394,14,11,11
2396,11,2,3
2397,20,10,15
2404,16,16,16
2405,18,12,13
2406,14,18,12
2407,12,12,12
2408,16,12,12
2411,12,0,6
2416,16,12,12
2417,19,16,13
2418,18,12,12
2419,14,12,12
2421,16,12,13
2422,12,10,0
2424,16,18,17
2425,14,12,12
2426,14,12,12
2433,16,16,16
2434,16,16,18
2436,17,14,16
2437,16,14,16
2438,17,7,7
2439,16,16,12
2440,20,14,16
2441,17,4,4
2443,15,12,11
2445,14,12,12
2446,15,5,5
2447,0,12,16
2448,17,12,5
2449,14,12,16
2450,15,17,16
2451,12,16,12
2454,15,6,4
2455,13,13,13
2457,13,18,12
2459,16,14,16
2460,12,12,16
2463,16,16,17
2465,12,13,19
2466,12,10,7
2467,16,12,18
2468,16,16,17
2469,20,16,16
2470,14,12,12
2471,18,12,12
2472,14,12,10
2474,16,14,19
2475,12,14,15
2478,20,12,16
2479,20,8,8
2481,17,14,16
2487,14,12,12
2488,20,14,16
2489,14,13,16
2490,14,16,16
2494,20,12,12
2495,13,12,12
2496,17,14,12
2497,18,14,6
2498,20,12,16
2499,20,10,12
2501,12,14,12
2502,16,12,8
2503,17,12,16
2504,17,18,19
2505,17,16,18
2506,14,12,12
2507,16,14,12
2511,16,12,4
2514,20,14,20
2515,12,12,12
2516,17,17,20
2517,14,12,12
2519,17,11,17
2520,16,12,10
2521,14,16,16
2522,18,14,18
2524,16,12,16
2525,16,6,6
2526,16,12,12
2527,12,4,9
